hotel_name,hotel_class,hotel_room_price,ta_rating,ta_location,ta_cleanliness,ta_service,ta_value,review_count,url
NS Royal Hotel,3.0,"1,391",3.0,4.0,3.0,3.0,3.5,48,/Hotel_Review-g298460-d1020962-Reviews-NS_Royal_Hotel-Cebu_City_Cebu_Island_Visayas.html
Dona Mercedes Hostel,2.0,0,3.0,4.5,3.5,4.0,4.0,10,/Hotel_Review-g298460-d1161406-Reviews-Dona_Mercedes_Hostel-Cebu_City_Cebu_Island_Visayas.html
OYO 157 Casa Venna Pension House,3.0,0,0.0,0,0,0,0,1,/Hotel_Review-g298460-d13405911-Reviews-OYO_157_Casa_Venna_Pension_House-Cebu_City_Cebu_Island_Visayas.html
Golden Peak Hotel & Suites Cebu,2.5,0,3.0,4.0,3.0,3.0,3.5,72,/Hotel_Review-g298460-d306049-Reviews-Golden_Peak_Hotel_Suites_Cebu-Cebu_City_Cebu_Island_Visayas.html
RF Suites,2.5,848,2.0,0,0,0,0,1,/Hotel_Review-g298460-d15245701-Reviews-RF_Suites-Cebu_City_Cebu_Island_Visayas.html
Schweizer Hotel,3.0,0,0,0,0,0,0,735,/Hotel_Review-g298460-d12291662-Reviews-Schweizer_Hotel-Cebu_City_Cebu_Island_Visayas.html
Eastland Hotel and Residences,3.0,0,0,0,0,0,0,92,/Hotel_Review-g298460-d14178494-Reviews-Eastland_Hotel_and_Residences-Cebu_City_Cebu_Island_Visayas.html
El Red's Condo,3.0,0,0,0,0,0,0,27,/Hotel_Review-g298460-d16732371-Reviews-El_Red_s_Condo-Cebu_City_Cebu_Island_Visayas.html
Obaid's Condo In Winland Towers,2.5,0,0,0,0,0,0,82,/Hotel_Review-g298460-d15799102-Reviews-Obaid_s_Condo_In_Winland_Towers-Cebu_City_Cebu_Island_Visayas.html
Sugbo Leisure Lodge,2.5,0,0,0,0,0,0,34,/Hotel_Review-g298460-d15277523-Reviews-Sugbo_Leisure_Lodge-Cebu_City_Cebu_Island_Visayas.html
